tarih,enlem,boylam,max_frp,tespit,risk_maks,risk_yuzdelik
2025-06-27,40.365,30.385,2979.8,2,0.0122,58.4
2025-07-27,39.725,29.075,2416.5,1,0.0415,81.5
2024-08-15,40.375,30.955,2250.6,5,0.0317,77.3
2024-08-15,40.365,30.935,2230.4,1,0.0158,64.0
2025-07-15,39.575,26.175,2074.6,1,0.099,91.1
2025-07-20,40.425,30.115,2033.6,1,0.0111,56.2
2025-07-21,40.395,30.105,1996.3,4,0.0102,54.3
2025-06-27,40.355,30.385,1875.6,2,0.0182,66.9
2025-07-15,40.615,26.995,1860.0,1,0.0578,85.9
2025-06-27,40.375,30.375,1791.7,4,0.0228,71.3
2025-06-30,36.305,36.145,1671.9,10,0.2015,95.5
2025-07-21,40.395,30.115,1613.6,3,0.0244,72.6
2024-08-16,37.555,28.325,1607.4,6,0.1476,93.9
2025-07-15,40.595,26.935,1602.1,2,0.0369,79.8
2025-07-15,40.585,26.925,1599.3,1,0.0417,81.6
2025-06-27,40.355,30.365,1549.5,1,0.0245,72.6
2025-06-30,36.305,36.135,1390.5,6,0.1109,92.0
2025-07-21,40.395,30.085,1318.9,1,0.0444,82.5
2025-06-29,38.175,26.995,1289.4,4,0.1724,94.7
2025-08-28,40.245,29.435,1206.1,1,0.074,88.6
2025-07-15,40.605,26.945,1192.6,2,0.0158,64.0
2025-06-27,40.375,30.365,1172.5,5,0.0254,73.4
2025-08-16,40.315,26.445,1113.0,1,0.0082,49.3
2025-06-19,37.095,35.055,1093.4,2,0.1409,93.6
2025-06-30,36.305,36.155,1057.8,10,0.1663,94.6
