oznitelik,onem,pay
skin_temp,196218.88640356064,0.10472132524733536
elev_mean,162478.3949429989,0.0867141443637407
lon_center,105282.81366157532,0.05618906505122415
lat_center,75768.18824148178,0.04043721391792366
elev_range,68629.08924841881,0.03662710205087402
bui,61693.27124619484,0.03292548052921585
built_5x5,58750.92658662796,0.03135516159747681
doy_sin,53379.106194257736,0.028488240065149415
doy_cos,50522.06667685509,0.026963448185885218
frac_ciplak,49466.75387954712,0.026400231480754852
frac_yapili,48370.691927433014,0.02581526709591729
ffmc,46630.8958530426,0.024886744088220874
dmc,43185.035199165344,0.023047700452281005
crop_5x5,42722.144724845886,0.02280065744432404
elev_std,42052.53539609909,0.022443289315345248
soil_w4_anom,41810.04274749756,0.022313871846977494
lai_high,36591.92176485062,0.019528979145671248
frac_agac,35404.22541093826,0.018895109804891657
soil_w4,35339.43883180618,0.01886053343689108
soil_w2_anom,33800.533586740494,0.01803922515384484
lai_low,33364.03271436691,0.017806266183052564
frac_tarim,33233.06733965874,0.01773637042606235
soil_w1_anom,32759.376752853394,0.017483563436293686
dist_water_km,32480.390923023224,0.01733466968625499
dc,29885.68195414543,0.01594988269234053
soil_w3_anom,29472.600853919983,0.015729422771060236
frac_dogal,29430.083106279373,0.015706731199616398
aspect_sin,29023.774424791336,0.015489885694248407
natural_5x5,27969.330637693405,0.014927132776791677
fwi_mean30,27391.147205114365,0.014618558325037823
soil_w1,26024.815719604492,0.013889352046721294
aspect_cos,25127.908240556717,0.013410675699343831
slope_mean,24329.916825532913,0.012984790505268178
frac_otlak,23743.33800625801,0.012671735465346341
dist_crop_km,22974.37162566185,0.012261340829423997
slope_max,22858.52990937233,0.012199516515408605
dist_built_km,21644.243397712708,0.011551456101542899
soil_w3,21056.210995197296,0.01123762528938989
fwi,20489.211697101593,0.010935019770628707
soil_w2,17636.446378707886,0.009412509016249028
frac_maki,17551.37468981743,0.009367106556960195
fwi_max7,16054.303235530853,0.008568124820001358
isi,12051.755044221878,0.006431979015472956
fwi_mean7,8698.872437953949,0.004642557434489273
crop_edge,376.5014081001282,0.00020093746904996094
